time,seconds_elapsed,relativeAltitude,pressure
1711486963431945200,0.1749453125,0,1007.20361328125
1711486963471932200,0.21493212890625,0.031707763671875,1007.19970703125
1711486963511945000,0.254945068359375,0.0819091796875,1007.19384765625
1711486963551944400,0.2949443359375,0.13739776611328125,1007.18701171875
1711486963591944000,0.33494384765625,0.14268112182617188,1007.1865234375
1711486963631945000,0.374945068359375,0.2563018798828125,1007.1728515625
1711486963671945200,0.4149453125,0.2430877685546875,1007.174560546875
1711486963711957800,0.454957763671875,0.18495941162109375,1007.181396484375
1711486963751949600,0.494949462890625,0.17967605590820312,1007.18212890625
1711486963791945000,0.534945068359375,0.19024276733398438,1007.1806640625
1711486963831949800,0.57494970703125,0.19024276733398438,1007.1806640625
1711486963871932400,0.614932373046875,0.13475799560546875,1007.1875
1711486963911948800,0.65494873046875,0.14004135131835938,1007.186767578125
1711486963951948500,0.694948486328125,0.10040664672851562,1007.19140625
1711486963991948500,0.734948486328125,0.0660552978515625,1007.195556640625
1711486964031949300,0.77494921875,0.0660552978515625,1007.195556640625
1711486964071944700,0.81494482421875,0.08455276489257812,1007.193359375
1711486964111946000,0.854946044921875,0.026424407958984375,1007.2001953125
1711486964151945200,0.8949453125,0.060771942138671875,1007.1962890625
1711486964191945700,0.93494580078125,0.11626052856445312,1007.189697265625
1711486964231945200,0.9749453125,0.17174911499023438,1007.182861328125
1711486964271945500,1.014945556640625,0.1268310546875,1007.188232421875
1711486964311945500,1.054945556640625,0.14268112182617188,1007.1865234375
1711486964351930600,1.0949306640625,0.1611785888671875,1007.18408203125
1711486964391944400,1.1349443359375,0.13739776611328125,1007.18701171875
1711486964431946000,1.174946044921875,0.06341552734375,1007.19580078125
1711486964471943700,1.214943603515625,0.10569000244140625,1007.190673828125
1711486964511945000,1.254945068359375,0.12418746948242188,1007.188720703125
1711486964551945000,1.294945068359375,0.10040664672851562,1007.19140625
1711486964591945200,1.3349453125,0.20345687866210938,1007.17919921875
1711486964631931600,1.374931640625,0.177032470703125,1007.182373046875
1711486964671940400,1.4149404296875,0.14268112182617188,1007.1865234375
1711486964711944700,1.45494482421875,0.08719635009765625,1007.193115234375
1711486964751944700,1.49494482421875,0.10569000244140625,1007.190673828125
1711486964791945000,1.534945068359375,0.11626052856445312,1007.189453125
1711486964831944700,1.57494482421875,0.10833358764648438,1007.1904296875
1711486964871945200,1.6149453125,0.1611785888671875,1007.184326171875
1711486964911932200,1.65493212890625,0.14532470703125,1007.18603515625
1711486964951944200,1.694944091796875,0.17967605590820312,1007.18212890625
1711486964991944700,1.73494482421875,0.12418746948242188,1007.188720703125
1711486965031945200,1.7749453125,0.17967605590820312,1007.181884765625
1711486965071944400,1.8149443359375,0.10569000244140625,1007.19091796875
1711486965111944400,1.8549443359375,0.005283355712890625,1007.202880859375
1711486965151949000,1.894948974609375,-0.010570526123046875,1007.204833984375
1711486965191931600,1.934931640625,0.00792694091796875,1007.20263671875
1711486965231948800,1.97494873046875,-0.013210296630859375,1007.205078125
1711486965271948500,2.014948486328125,0.02378082275390625,1007.20068359375
1711486965311949300,2.05494921875,0.07398223876953125,1007.194580078125
1711486965351948500,2.094948486328125,0.042278289794921875,1007.198486328125
1711486965391948300,2.1349482421875,-0.029064178466796875,1007.206787109375
1711486965431948800,2.17494873046875,0,1007.20361328125
1711486965471949300,2.21494921875,0.03963470458984375,1007.19873046875
1711486965511944700,2.25494482421875,0.034351348876953125,1007.199462890625
1711486965551945200,2.2949453125,0.0977630615234375,1007.191650390625
1711486965591945000,2.334945068359375,0.044918060302734375,1007.1982421875
1711486965631945500,2.374945556640625,0.07398223876953125,1007.194580078125
1711486965671945000,2.414945068359375,0.058132171630859375,1007.196533203125
1711486965711945500,2.454945556640625,0.15060806274414062,1007.185546875
1711486965751945200,2.4949453125,0.005283355712890625,1007.202880859375
1711486965791945000,2.534945068359375,-0.03963470458984375,1007.208251953125
1711486965831946000,2.574946044921875,-0.10040664672851562,1007.215576171875
1711486965871942700,2.614942626953125,-0.1928863525390625,1007.2265625
1711486965911944400,2.6549443359375,-0.21402359008789062,1007.22900390625
1711486965951945500,2.694945556640625,-0.23516082763671875,1007.231689453125
1711486965991945000,2.734945068359375,-0.3117866516113281,1007.24072265625
1711486966031945700,2.77494580078125,-0.3567085266113281,1007.24609375
1711486966071946000,2.814946044921875,-0.39633941650390625,1007.2509765625
1711486966111944700,2.85494482421875,-0.4518280029296875,1007.257568359375
1711486966151946500,2.894946533203125,-0.4808921813964844,1007.260986328125
1711486966191941000,2.934941162109375,-0.4861793518066406,1007.26171875
1711486966231946200,2.9749462890625,-0.45975494384765625,1007.258544921875
1711486966271932400,3.014932373046875,-0.385772705078125,1007.24951171875
1711486966311946000,3.054946044921875,-0.531097412109375,1007.266845703125
1711486966351932000,3.094931884765625,-0.36199188232421875,1007.246826171875
1711486966391944400,3.1349443359375,-0.322357177734375,1007.241943359375
1711486966431945700,3.17494580078125,-0.3170738220214844,1007.241455078125
1711486966471945000,3.214945068359375,-0.4941062927246094,1007.262451171875
1711486966511946000,3.254946044921875,-0.6711387634277344,1007.28369140625
1711486966551947800,3.29494775390625,-0.7662582397460938,1007.295166015625
1711486966591946800,3.33494677734375,-0.6394309997558594,1007.280029296875
1711486966631931600,3.374931640625,-0.6473579406738281,1007.281005859375
1711486966671948000,3.414947998046875,-0.6473579406738281,1007.28076171875
1711486966711947300,3.454947265625,-0.5680885314941406,1007.271240234375
1711486966751948000,3.494947998046875,-0.6499977111816406,1007.28125
