time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1713398530999939300,38.62193921,11.92417584,1.467213718,50.53172974,29.64434189,183.3898128,14.25104234,10.06621207,-82.34345678,1.186991772
1713398531999938000,39.62193799,11.8993769,1.64054804,76.28549191,29.64433445,178.2649153,14.25146098,10.06561937,-82.3434542,0.8907951337
1713398532999937500,40.6219375,11.34741775,1.617792705,89.59417266,29.64432746,186.3704965,14.25115007,10.06605955,-82.3434548,0.7343153365
1713398533999936000,41.62193604,11.29477116,1.472482278,66.53458733,29.64431685,187.5437579,14.2514531,10.06563052,-82.34345543,0.9153988003
1713398534999935200,42.6219353,11.32005132,1.639744512,70.61137683,29.64430613,184.4717365,14.25293931,10.06352594,-82.34345678,0.954950227
1713398535999934700,43.62193481,11.19770793,1.637585373,52.9196995,29.64429465,186.5153308,14.25199895,10.06485764,-82.34345229,1.27502679
1713398536999934200,44.62193433,11.33767476,1.634469628,58.03023716,29.64428254,177.2009561,14.25140862,10.0656935,-82.3434532,1.177512871
1713398537999933200,45.62193311,11.11153935,1.645011282,64.00947756,29.64427347,182.0686837,14.25117705,10.06602136,-82.34345329,1.054994841
1713398538999932400,46.62193237,10.8483995,1.613649226,83.16990886,29.64426532,178.2574974,14.25111151,10.06611415,-82.34345009,0.7805844342
1713398539999931600,47.62193164,10.88625666,1.644028664,71.672217,29.64425381,179.6373391,14.25261285,10.06398829,-82.34344826,0.9350497832
1713398540999930400,48.62193042,11.19092415,1.644511797,57.62906038,29.64424042,178.0158979,14.25198625,10.06487562,-82.34344616,1.188537793
1713398541999929900,49.62192993,11.01106385,1.798878194,60.82413288,29.64422605,178.6432613,14.25270351,10.06385989,-82.34344299,1.227930482
1713398542999929300,50.62192944,11.25250429,1.645974923,49.10807278,29.64421436,185.6214412,14.25083967,10.06649899,-82.34344594,1.380546324
