time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude,sample,street
1712267995243790300,0.602790283203125,1.5607850551605225,0.9050966501235962,3.9073798656463623,10.17300033569336,0.6700000166893005,172.0,-3.0999999046325684,-82.3505918,29.6409277,Sample 1,Gale/West
1712267996368359700,1.727359619140625,6.786160945892334,0.9626006484031677,3.8223025798797607,8.529999732971191,0.659568190574646,171.99374389648438,-3.0999999046325684,-82.350568,29.6409362,Sample 1,Gale/West
1712267996681000000,2.04,45.0,1.5,2.1065385341644287,8.137999534606934,0.6568794250488281,171.9558563232422,-3.5999999046325684,-82.3505659,29.6409365,Sample 1,Gale/West
1712267997340654300,2.699654296875,45.0,0.49492883682250977,2.1065385341644287,136.72799682617188,1.076121211051941,219.34671020507812,-3.5999999046325684,-82.3505677,29.6409339,Sample 1,Gale/West
1712267997368115700,2.72711572265625,45.0,0.29974275827407837,2.22340726852417,17.37700080871582,0.8545517921447754,322.5860595703125,-3.5999999046325684,-82.3505679,29.6409416,Sample 1,Gale/West
1712267997978818300,3.337818359375,45.0,0.23409779369831085,2.22340726852417,16.840999603271484,1.1583282947540283,347.1816711425781,-3.5999999046325684,-82.3505701,29.6409492,Sample 1,Gale/West
1712267998368098600,3.7270986328125,45.0,0.2438601553440094,2.120793104171753,14.399999618530273,1.1663105487823486,358.7682189941406,-3.3340161549398815,-82.3505714,29.6409685,Sample 1,Gale/West
1712267999022943200,4.381943115234375,45.0,0.23333700001239777,2.120793104171753,13.234999656677246,1.1778136491775513,354.6874084472656,-3.3340161549398815,-82.3505716,29.640982,Sample 1,Gale/West
1712267999367570200,4.726570068359375,45.0,0.21933534741401672,2.283950090408325,12.175999641418457,1.2580782175064087,359.1203918457031,-3.3140485294659854,-82.3505718,29.641001,Sample 1,Gale/West
1712267999562828000,4.921828125,45.0,0.24430713057518005,2.283950090408325,11.460000038146973,1.2599027156829834,1.6631914377212524,-3.3140485294659854,-82.35057,29.6410107,Sample 1,Gale/West
1712267999866961200,5.225961181640625,45.0,0.16841234266757965,2.254474401473999,10.946999549865723,1.2440258264541626,6.511681079864502,-3.3048326864173347,-82.3505679,29.6410188,Sample 1,Gale/West
1712268000182289700,5.54128955078125,45.0,0.20373760163784027,2.254474401473999,10.560999870300293,1.2474576234817505,7.234248638153076,-3.3048326864173347,-82.3505664,29.6410256,Sample 1,Gale/West
1712268000367248100,5.726248046875,45.0,0.17745965719223022,2.448291063308716,10.069000244140625,1.1922425031661987,9.351604461669922,-3.335552124176438,-82.3505659,29.6410351,Sample 1,Gale/West
1712268000685879000,6.044879150390625,45.0,0.2166476547718048,2.448291063308716,9.64799976348877,1.19296395778656,8.331097602844238,-3.335552124176438,-82.3505637,29.6410443,Sample 1,Gale/West
1712268001264422400,6.62342236328125,45.0,0.1986335963010788,2.448291063308716,9.310999870300293,1.2332006692886353,2.040097236633301,-3.335552124176438,-82.3505625,29.6410542,Sample 1,Gale/West
1712268001367568100,6.726568115234375,45.0,0.1841769963502884,2.4783332347869873,8.954000473022461,1.2310481071472168,0.372342973947525,-3.4560016782092546,-82.3505628,29.6410593,Sample 1,Gale/West
1712268001767789600,7.12678955078125,45.0,0.2203904241323471,2.4783332347869873,8.60200023651123,1.2259712219238281,359.84130859375,-3.4560016782092546,-82.3505611,29.6410685,Sample 1,Gale/West
1712268002366752000,7.725751953125,45.0,0.206123486161232,2.4783332347869873,8.317999839782715,1.2291163206100464,357.7177429199219,-3.4560016782092546,-82.3505609,29.6410783,Sample 1,Gale/West
1712268002367503000,7.726503173828125,45.0,0.19086302816867828,2.489384412765503,8.043000221252441,1.227622389793396,357.0557861328125,-3.4969607350559,-82.3505615,29.6410798,Sample 1,Gale/West
1712268002858397200,8.217397216796876,45.0,0.24115607142448425,2.489384412765503,7.129000186920166,1.23016357421875,357.4577941894531,-3.4969607350559,-82.3505601,29.6410883,Sample 1,Gale/West
1712268003367775500,8.726775390625,45.0,0.1966305822134018,2.53598952293396,6.289000034332275,1.2629367113113403,354.8622131347656,-3.3724153021280827,-82.350561,29.6410965,Sample 1,Gale/West
1712268003466841000,8.825841064453124,45.0,0.1976909637451172,2.53598952293396,5.873000144958496,1.2538458108901978,355.3470153808594,-3.3724153021280827,-82.3505597,29.6410993,Sample 1,Gale/West
1712268003979707600,9.338707763671875,45.0,0.20301872491836548,2.53598952293396,5.72599983215332,1.2584081888198853,353.89019775390625,-3.3724153021280827,-82.3505596,29.6411068,Sample 1,Gale/West
1712268004367402500,9.726402587890625,45.0,0.1860942840576172,2.5420243740081787,5.336999893188477,1.2413533926010132,352.91021728515625,-3.3498878235925247,-82.3505607,29.6411123,Sample 1,Gale/West
1712268004578579500,9.937579345703124,45.0,0.23503530025482178,2.5420243740081787,4.848999977111816,1.2369338274002075,354.4058532714844,-3.3498878235925247,-82.3505597,29.6411158,Sample 1,Gale/West
1712268005080970200,10.43997021484375,45.0,0.21731676161289215,2.5420243740081787,4.551000118255615,1.2461870908737183,353.2218933105469,-3.3498878235925247,-82.3505598,29.6411225,Sample 1,Gale/West
1712268005368078800,10.727078857421875,45.0,0.1963469237089157,2.5895297527313232,4.123000144958496,1.2409207820892334,352.52593994140625,-3.3724153021280827,-82.350561,29.6411263,Sample 1,Gale/West
1712268005718349600,11.077349609375,45.0,0.24512167274951935,2.5895297527313232,3.940999984741211,1.241570234298706,355.50390625,-3.3724153021280827,-82.3505602,29.6411312,Sample 1,Gale/West
1712268006240548400,11.59954833984375,45.0,0.22519569098949432,2.5895297527313232,3.9159998893737793,1.2540184259414673,357.391357421875,-3.3724153021280827,-82.3505601,29.6411382,Sample 1,Gale/West
1712268006367446000,11.726446044921875,45.0,0.195799320936203,2.632540225982666,3.7709999084472656,1.2286967039108276,357.3370666503906,-3.4277097676487926,-82.3505608,29.64114,Sample 1,Gale/West
1712268006459000000,11.818,45.0,0.19181683659553528,2.53894305229187,3.6549999713897705,1.2201905250549316,358.21356201171875,-3.3708103197213646,-82.3505599,29.6411409,Sample 1,Gale/West
1712268006859833000,12.2188330078125,45.0,0.23355059325695038,2.53894305229187,3.5940001010894775,1.2193706035614014,359.3144226074219,-3.3708103197213646,-82.3505593,29.6411456,Sample 1,Gale/West
1712268007361635000,12.720635009765624,45.0,0.20459167659282684,2.53894305229187,3.6070001125335693,1.230843186378479,0.4866357743740082,-3.3708103197213646,-82.3505591,29.6411516,Sample 1,Gale/West
1712268007367329500,12.72632958984375,45.0,0.18601086735725403,2.3753416538238525,3.569999933242798,1.2280676364898682,0.1694338321685791,-3.231419932660458,-82.3505599,29.6411517,Sample 1,Gale/West
1712268007961666000,13.320666015625,45.0,0.15736381709575653,2.3753416538238525,3.5409998893737793,1.2328147888183594,5.049736022949219,-3.231419932660458,-82.3505592,29.6411577,Sample 1,Gale/West
1712268008367252500,13.72625244140625,45.0,0.19116157293319702,2.344346046447754,3.6050000190734863,1.2063214778900146,8.942048072814941,-3.231419932660458,-82.3505603,29.6411617,Sample 1,Gale/West
1712268008520848000,13.879847900390626,45.0,0.19856150448322296,2.344346046447754,3.6619999408721924,1.208351731300354,10.242366790771484,-3.231419932660458,-82.3505596,29.6411624,Sample 1,Gale/West
