time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1712266495417567700,291.7815676269531,45,0.25563034415245056,3.363246202468872,3.2839999198913574,1.2555450201034546,351.21343994140625,11.09999942779541,-82.3468761,29.6439851
1712266495901598500,292.2655983886719,45,0.214051753282547,3.1648454666137695,3.318000078201294,1.2992956638336182,352.44561767578125,11.09999942779541,-82.3468759,29.643992
1712266496365784800,292.7297849121094,45,0.2236548364162445,3.0467357635498047,3.36299991607666,1.2931751012802124,354.9460144042969,11.09999942779541,-82.3468757,29.643998
1712266496559665000,292.9236647949219,45,0.17350676655769348,3.0467357635498047,3.384000062942505,1.3054872751235962,357.4716491699219,11.09999942779541,-82.346875,29.6440011
1712266497027395000,293.3913950195313,45,0.21863944828510284,3.0467357635498047,3.431999921798706,1.3085720539093018,1.8810418844223022,11.09999942779541,-82.3468743,29.6440075
1712266497366071800,293.73007177734377,45,0.19453901052474976,2.994224786758423,3.5250000953674316,1.2901839017868042,3.4014103412628174,11.09999942779541,-82.3468732,29.6440118
1712266497603187700,293.96718774414063,45,0.19950680434703827,2.994224786758423,3.5980000495910645,1.2845680713653564,3.022568941116333,11.09999942779541,-82.346873,29.6440151
1712266497831400000,294.19539990234375,45,0.19950680434703827,3.0613250732421875,3.625999927520752,1.2843506336212158,2.487766742706299,10.699999809265137,-82.3468729,29.6440163
1712266498127034000,294.4910341796875,45,0.2338387668132782,3.0613250732421875,3.7130000591278076,1.2864644527435303,0.7555952072143555,10.699999809265137,-82.3468747,29.6440239
1712266498365634000,294.7296340332031,45,0.2095380425453186,3.06907057762146,3.7339999675750732,1.2731761932373047,0.2596752941608429,10.699999809265137,-82.346875,29.6440266
1712266498728137500,295.0921374511719,45,0.2158624827861786,3.06907057762146,3.7929999828338623,1.266369342803955,0.03397863358259201,10.699999809265137,-82.3468749,29.6440312
1712266499269697500,295.6336975097656,45,0.25363942980766296,3.06907057762146,3.8499999046325684,1.2766627073287964,358.0337829589844,10.699999809265137,-82.346875,29.644038
